GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.duoc.backend,JWTAuthorizationFilter,0,94,1,7,0,33,1,8,0,5
backend,com.duoc.backend,UserResponse,0,21,0,0,0,8,0,4,0,4
backend,com.duoc.backend,PatientController,0,60,0,2,0,17,0,5,0,4
backend,com.duoc.backend,Patient,41,22,0,0,17,9,12,2,12,2
backend,com.duoc.backend,InvoiceController,108,135,21,21,30,30,22,7,4,4
backend,com.duoc.backend,LoginController,0,31,0,2,0,7,0,3,0,2
backend,com.duoc.backend,MyUserDetailsService,9,16,1,1,2,5,2,2,1,2
backend,com.duoc.backend,SecuredController,0,6,0,0,0,2,0,2,0,2
backend,com.duoc.backend,User,10,31,0,0,5,13,5,9,5,9
backend,com.duoc.backend,OpenAPIConfig,3,0,0,0,1,0,1,0,1,0
backend,com.duoc.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.duoc.backend,InvoiceLineItemType,0,21,0,0,0,4,0,1,0,1
backend,com.duoc.backend,UserRegistrationRequest,0,24,0,0,0,10,0,7,0,7
backend,com.duoc.backend,PetController,163,245,33,53,31,61,27,24,0,8
backend,com.duoc.backend,JWTAuthenticationConfig,0,52,0,0,0,17,0,2,0,2
backend,com.duoc.backend,InvoiceLineItem,31,61,2,2,12,21,7,12,5,12
backend,com.duoc.backend,AppointmentController,122,36,11,3,31,7,11,4,5,3
backend,com.duoc.backend,WebSecurityConfig,0,57,0,0,0,11,0,4,0,4
backend,com.duoc.backend,LoginRequest,0,26,0,0,0,11,0,6,0,6
backend,com.duoc.backend,Constants,3,15,0,0,1,4,1,2,1,2
backend,com.duoc.backend,UserController,15,23,0,0,4,4,0,2,0,2
backend,com.duoc.backend,UserService,2,197,6,30,1,38,6,20,0,8
backend,com.duoc.backend,PasswordMigrationRunner,21,0,2,0,7,0,4,0,3,0
backend,com.duoc.backend,Pet,30,63,0,0,11,27,2,18,2,18
backend,com.duoc.backend,Invoice,39,80,2,4,16,25,13,10,11,9
backend,com.duoc.backend,Appointment,53,10,0,0,22,4,11,3,11,3
